No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
1,26/10/2023,Vente,16080.0,,,,B082,LE VAL AUX GUENONS,10200.0,COLOMBE LE SEC,10,103,,D,517,,,,,,,,,,,,0,,,,,L,,320.0
1,25/07/2023,Vente,410000.0,26.0,,BD,0280,ARISTIDE BRIAND,86100.0,CHATELLERAULT,86,66,,CZ,19,,6.0,,9.0,,,,,,,,2,4.0,Local industriel. commercial ou assimilé,355.0,0.0,,,
1,22/06/2023,Vente,541200.0,6.0,,ALL,0006,DES BAUMES,34980.0,COMBAILLAUX,34,82,,AC,69,,,,,,,,,,,,0,1.0,Maison,135.0,7.0,AG,,706.0
1,19/09/2023,Vente en l'état futur d'achèvement,328000.0,11.0,,AV,5152,MARC SANGNIER,92390.0,VILLENEUVE-LA-GARENNE,92,78,,N,247,,127.0,,,,,,,,,,1,,,,,,,
1,26/05/2023,Vente en l'état futur d'achèvement,140000.0,,,,B032,MIECAZE,15150.0,SAINT-ETIENNE-CANTALES,15,182,,A,295,,,,,,,,,,,,0,,,,,P,,1430.0
1,03/10/2023,Vente,14443.2,,,,B210,LE PAUTET,71390.0,MARCILLY-LES-BUXY,71,277,,B,71,,,,,,,,,,,,0,,,,,PA,PATUR,14010.0
1,31/05/2023,Vente,343700.0,5761.0,,,B029,LES PLAINES,83136.0,ROCBARON,83,106,,AH,143,,,,,,,,,,,,0,1.0,Maison,92.0,4.0,S,,500.0
1,23/02/2023,Vente,230000.0,184.0,,RUE,0647,DE COULON,49260.0,MONTREUIL-BELLAY,49,215,,BL,234,,,,,,,,,,,,0,1.0,Maison,137.0,6.0,S,,599.0
1,13/12/2023,Vente,160000.0,,,,B335,PALIERES,12480.0,BROQUIES,12,37,,J,43,,,,,,,,,,,,0,,,,,S,,1571.0
1,16/10/2023,Vente,266000.0,,,,B063,LA GRANDE EAU,23400.0,BOURGANEUF,23,30,,AY,322,,,,,,,,,,,,0,,,,,L,,165.0
1,20/02/2023,Vente,1501040.0,,,,B065,LA GARDIE,34450.0,VIAS,34,332,,CY,463,,,,,,,,,,,,0,,,,,AB,RUE,270.0
1,19/12/2023,Vente,67000.0,8.0,,RUE,3720,DU GOUJON,21000.0,DIJON,21,231,,CZ,9,,37.0,"33,46",38.0,,39.0,,,,,,3,3.0,Dépendance,0.0,0.0,,,
1,20/11/2023,Vente,142020.77,27.0,,RUE,4330,DES REMPARTS LA REAL,66000.0,PERPIGNAN,66,136,,AY,29,,4,,,,,,,,,,1,3.0,Dépendance,0.0,0.0,,,
1,21/11/2023,Vente,275000.0,,,,B074,AU MUROT,71520.0,CURTIL-SOUS-BUFFIERES,71,163,,A,494,,,,,,,,,,,,0,,,,,S,,150.0
1,06/07/2023,Vente,270000.0,,,,B065,LE VILLAGE,21120.0,PICHANGES,21,483,,AB,148,,,,,,,,,,,,0,,,,,T,,13315.0
1,12/05/2023,Vente,303500.0,33.0,,RUE,0060,ALSACE LORRAINE,17480.0,LE CHATEAU D OLERON,17,93,,AC,794,,,,,,,,,,,,0,3.0,Dépendance,0.0,0.0,S,,109.0
2,04/05/2023,Vente,528.0,28.0,,RUE,0381,DU POINT DE VUE,88190.0,GOLBEY,88,209,,AB,160,,,,,,,,,,,,0,1.0,Maison,112.0,5.0,S,,11.0
1,04/12/2023,Vente,125360.0,83.0,,IMP,0132,DES CHARDONS BLEUS,74340.0,SAMOENS,74,258,,G,6098,,540.0,"27,03",549.0,,,,,,,,2,2.0,Appartement,27.0,1.0,,,
1,24/02/2023,Vente,1.0,,,,B024,MOYRAND,69660.0,COLLONGES-AU-MONT- D OR,69,63,,AB,2243,,,,,,,,,,,,0,,,,,S,,477.0
1,20/03/2023,Vente,265000.0,1.0,,RUE,0792,DE SACHE,37190.0,CHEILLE,37,67,,AM,264,,,,,,,,,,,,0,3.0,Dépendance,0.0,0.0,S,,448.0
1,20/12/2023,Vente,274000.0,55.0,,AV,1085,JULIEN FABRE,13300.0,SALON-DE-PROVENCE,13,103,,AS,35,,33.0,,34.0,,46.0,,47.0,,,,4,3.0,Dépendance,0.0,0.0,,,
1,24/10/2023,Vente,1296000.0,7.0,,AV,0179,JACQUES CARTIER,77600.0,BUSSY-SAINT-GEORGES,77,58,,ZB,233,,48.0,,,,,,,,,,1,4.0,Local industriel. commercial ou assimilé,15.0,0.0,,,
1,10/05/2023,Vente,10000.0,,,,B054,PREMOURANT,26110.0,MONTAULIEU,26,190,,B,751,,,,,,,,,,,,0,,,,,BT,,406.0
1,09/11/2023,Vente,190000.0,395.0,,GR,0075,GRANDE RUE D AUX MARAIS,60000.0,AUX MARAIS,60,703,,AC,131,,,,,,,,,,,,0,1.0,Maison,90.0,4.0,S,,1416.0
1,30/08/2023,Vente,263000.0,41.0,,AV,0310,DE LA GARE,33740.0,ARES,33,11,,AA,440,,,,,,,,,,,,0,2.0,Appartement,27.0,2.0,S,,553.0
1,01/06/2023,Vente,90000.0,9.0,,PL,1415,CARNOT,93110.0,ROSNY-SOUS-BOIS,93,64,,AF,330,,106,,23.0,"20,26",,,,,,,2,3.0,Dépendance,0.0,0.0,,,
1,24/02/2023,Vente,215000.0,,,,B044,LE VILLAGE,51230.0,ECURY-LE-REPOS,51,226,,B,535,,,,,,,,,,,,0,,,,,J,,481.0
